"Judul","Title_URL","Update","Agen","Jenis_Rumah","Lokasi","KT","KM","Garasi","LT","LB","KPR_bulanan","Harga","Harga_New","Juta"
"Dijual Rumah Minimalis Modern di Greenstone Citragrand Tembalang 11.763 nic","https://www.rumah123.com/properti/semarang/hos16538791/","Diperbarui 3 minggu yang lalu oleh","NANA - LJHooker Semarang","Rumah","Tembalang, Semarang","3","2","","162","138","9","2.5","2.5",""
"Rumah di Perum.Hasanudin Baru full furnish","https://www.rumah123.com/properti/semarang/hos16535814/","Diperbarui 3 minggu yang lalu oleh","raywhite.maykeproperty","Rumah","Semarang Utara, Semarang","3","2","3","375","300","14","4","4",""
"Rumah Mewah 2 Lantai Cluster De Villa Garden Banyumanik","https://www.rumah123.com/properti/semarang/hos16538577/","Diperbarui 3 minggu yang lalu oleh","Setiawan 99","Rumah","Semarang Selatan, Semarang","3","2","2","72","72","2","570","0.57",""
"Rumah Dijual Rumah Cantik Minimalis di Rivera, Candi Golf, Semarang 11.734 mrt","https://www.rumah123.com/properti/semarang/hos16538556/","Diperbarui 3 minggu yang lalu oleh","NANA - LJHooker Semarang","Rumah","Candisari, Semarang","5","4","","160","180","14","4","4",""
"Rumah di banyumanik, dekat Tol dalam kota dan luar kota, bagus 1.5 Lantai SHM hadap Utara, akses mudah, dijual cepat","https://www.rumah123.com/properti/semarang/hos16070599/","Diperbarui 3 hari yang lalu oleh","Silvie Iskandar","Rumah
Featured","Banyumanik, Semarang","2","1","1","93","93","3","900","0.9",""
"Rumah Tengah Kota Siap Huni Dijual di Mawar Greenwood Manyaran Gunungpati Semarang Barat 11.733 mrt","https://www.rumah123.com/properti/semarang/hos16538364/","Diperbarui 3 minggu yang lalu oleh","NANA - LJHooker Semarang","Rumah","Semarang Barat, Semarang","7","5","","575","350","10","2.9","2.9",""
"Rumah di Srondol Asri , Banyumanik Semarang Si 6270","https://www.rumah123.com/properti/semarang/hos16530440/","Diperbarui 3 minggu yang lalu oleh","Sintia Redland","Rumah","Banyumanik, Semarang","3","1","1","342","150","8","2.3","2.3",""
"Dijual Rumah di Pondok Indraprasta Semarang","https://www.rumah123.com/properti/semarang/hos16534659/","Diperbarui 2 minggu yang lalu oleh","Else Property","Rumah","Semarang Utara, Semarang","4","1","","210","200","9","2.6","2.6",""
"Rumah di Bukit Sari Banyumanik Jual Cepat Pemilik Mau Pindah","https://www.rumah123.com/properti/semarang/hos16534684/","Diperbarui 3 minggu yang lalu oleh","Else Property","Rumah","Banyumanik, Semarang","4","4","","268","350","9","2.5","2.5",""
"CITRASUN GARDEN, RUMAH BARU 2 LANTAI DI KAWASAN ELITE SEMARANG","https://www.rumah123.com/properti/semarang/hos16534683/","Diperbarui 3 minggu yang lalu oleh","Else Property","Rumah","Banyumanik, Semarang","3","3","","160","123","11","3.1","3.1",""
"BANYUMANIK, RUMAH DI BUKIT INDAH REGENCY BANYUMANIK","https://www.rumah123.com/properti/semarang/hos16534679/","Diperbarui 3 minggu yang lalu oleh","Else Property","Rumah","Banyumanik, Semarang","4","3","","367","265","13","3.75","3.75",""
"JARANG ADA! Rumah di Bukit Sari Hanya 1,25M Saja","https://www.rumah123.com/properti/semarang/hos16534686/","Diperbarui 3 minggu yang lalu oleh","Else Property","Rumah","Banyumanik, Semarang","3","3","","150","130","4","1.25","1.25",""
